Identificador do processo de viagem,Distancia_Notebook,Emissoes_Notebook,Distancia_Baseline,Emissoes_Baseline,Distancia_Itinerario,Diferenca_Distancia,Diferenca_Emissoes,Abs_Dif_Distancia,Perc_Dif_Emissoes,Dif_Dist_Notebook_vs_Itinerario
000000000000019185446,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019185584,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019185588,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019186885,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019188134,5209.5924,1042.4822,5206.5206,952.1131,,3.0718,90.3691,3.0718,0.0949,
000000000000019188851,3777.7725,755.9633,3750.5965,685.8692,,27.176,70.0941,27.176,0.1022,
000000000000019190127,2322.2513,424.6686,2294.6939,419.6292,,27.5574,5.0394,27.5574,0.012,
000000000000019190182,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019190345,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019190388,3727.4501,745.8934,3727.6272,681.6688,,-0.1772,64.2246,0.1772,0.0942,
000000000000019194811,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019195283,3777.7725,755.9633,3750.5965,685.8692,,27.176,70.0941,27.176,0.1022,
000000000000019198027,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019199992,5852.787,1171.1908,5834.0911,1066.8765,,18.6959,104.3143,18.6959,0.0978,
000000000000019203299,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019203431,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019203473,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019203567,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019205181,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019208009,971.8892,177.7287,973.4693,265.3451,,-1.5802,-87.6164,1.5802,0.3302,
000000000000019212209,5102.7877,1021.1097,5083.2953,929.5789,,19.4924,91.5308,19.4924,0.0985,
000000000000019212969,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019214722,5760.625,1152.7484,5750.3779,1051.5679,,10.2472,101.1805,10.2472,0.0962,
000000000000019215547,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019216702,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019217117,971.8892,177.7287,973.4693,265.3451,,-1.5802,-87.6164,1.5802,0.3302,
000000000000019218221,1932.9384,353.4752,1924.7683,351.9811,,8.17,1.4941,8.17,0.0042,
000000000000019218897,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019220954,592.2125,161.4234,558.1389,152.1357,,34.0735,9.2877,34.0735,0.061,
000000000000019222691,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019223541,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019223661,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019224616,5973.9864,1195.4438,5969.5297,1091.644,,4.4567,103.7998,4.4567,0.0951,
000000000000019225071,592.2125,161.4234,558.1389,152.1357,,34.0735,9.2877,34.0735,0.061,
000000000000019229574,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019231480,1103.5865,201.8122,1092.4729,297.7827,,11.1137,-95.9705,11.1137,0.3223,
000000000000019231762,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019231794,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019231868,5973.9864,1195.4438,5969.5297,1091.644,,4.4567,103.7998,4.4567,0.0951,
000000000000019232693,5973.9864,1195.4438,5969.5297,1091.644,,4.4567,103.7998,4.4567,0.0951,
000000000000019236125,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019236386,5520.2366,1104.6447,5634.1966,1030.3219,,-113.96,74.3228,113.96,0.0721,
000000000000019236544,3306.7382,604.7011,3310.0043,605.2984,,-3.2662,-0.5973,3.2662,0.001,
000000000000019237284,5520.2366,1104.6447,5634.1966,1030.3219,,-113.96,74.3228,113.96,0.0721,
000000000000019238106,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019240270,3034.3293,554.8858,3030.0198,554.0978,,4.3095,0.788,4.3095,0.0014,
000000000000019241806,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019243314,2694.042,492.6577,2695.5823,492.9394,,-1.5403,-0.2817,1.5403,0.0006,
000000000000019243698,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019244383,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019244559,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019244596,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019245152,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019245207,4259.1862,852.2982,4200.9975,768.2337,,58.1888,84.0645,58.1888,0.1094,
000000000000019245814,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019246181,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019246583,2837.4436,518.8815,2826.9311,516.9591,,10.5125,1.9224,10.5125,0.0037,
000000000000019246644,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019247437,399.6455,108.9341,361.9597,98.6618,,37.6858,10.2723,37.6858,0.1041,
000000000000019247937,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019249250,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019249317,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019249490,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019249701,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019251260,1103.5865,201.8122,1092.4729,297.7827,,11.1137,-95.9705,11.1137,0.3223,
000000000000019251876,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019252820,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019253229,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019253523,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019253786,3777.7725,755.9633,3750.5965,685.8692,,27.176,70.0941,27.176,0.1022,
000000000000019254506,3308.0198,604.9354,3308.4229,605.0092,,-0.4031,-0.0738,0.4031,0.0001,
000000000000019254569,2263.8827,413.9948,2254.5322,412.2848,,9.3506,1.71,9.3506,0.0041,
000000000000019256805,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019259579,5520.2366,1104.6447,5634.1966,1030.3219,,-113.96,74.3228,113.96,0.0721,
000000000000019260865,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
